model,tau,family,n,filtered,unfiltered,gain
perslay_z_dtm_k15,0.5,lgcp,11037,0.39427145568004746,0.39135104325649833,-0.0029204124235491236
perslay_z_dtm_k15,0.7,thomas,7437,0.611550212657953,0.5932419201439287,-0.018308292514024216
perslay_z_dtm_k15,0.7,nested,7284,0.5165819098409401,0.5134291761072413,-0.0031527337336988426
perslay_z_dtm_k15,0.7,matern2,18654,0.16458733203359951,0.1573232220513666,-0.007264109982232925
perslay_z_dtm_k15,0.7,lgcp,10619,0.3915251016364314,0.3835668345205916,-0.007958267115839801
perslay_z_dtm_k15,0.9,thomas,7026,0.570384855387061,0.5475988879138786,-0.0227859674731824
perslay_z_dtm_k15,0.9,nested,6776,0.5294470997680933,0.5247515602913213,-0.004695539476772037
perslay_z_dtm_k15,0.9,matern2,18390,0.16858908084637172,0.15751936410762013,-0.011069716738751595
perslay_z_dtm_k15,0.9,lgcp,9182,0.3776315263595822,0.3588247980521054,-0.018806728307476817
perslay_z_dtm_k20,0.0,thomas,3974,0.6564246490034593,0.6564246490034593,0.0
perslay_z_dtm_k20,0.0,nested,13900,0.5981669602165233,0.5981669602165233,0.0
perslay_z_dtm_k20,0.0,matern2,20613,0.166498115492367,0.166498115492367,0.0
perslay_z_dtm_k20,0.0,lgcp,11821,0.4061384476206877,0.4061384476206877,0.0
perslay_z_dtm_k20,0.3,thomas,7408,0.6322657825626218,0.633295064539345,0.0010292819767232508
perslay_z_dtm_k20,0.3,nested,8262,0.5382595962675697,0.5407773436712525,0.002517747403682824
perslay_z_dtm_k20,0.3,matern2,20464,0.1706338533247782,0.1648232517887525,-0.005810601536025695
perslay_z_dtm_k20,0.3,lgcp,11647,0.3982507190385025,0.3977691916688564,-0.00048152736964612863
perslay_z_dtm_k20,0.5,thomas,8191,0.6326721708765803,0.6241585060087336,-0.00851366486784677
perslay_z_dtm_k20,0.5,nested,7500,0.5243196962149013,0.525496535511624,0.0011768392967227426
perslay_z_dtm_k20,0.5,matern2,19332,0.16310815841431422,0.1609603843848929,-0.0021477740294213177
perslay_z_dtm_k20,0.5,lgcp,10841,0.40298459618014787,0.39340729873664015,-0.009577297443507715
perslay_z_dtm_k20,0.7,thomas,7925,0.6179224970178546,0.6075929761738762,-0.010329520843978424
perslay_z_dtm_k20,0.7,nested,7181,0.5279681164834856,0.531616623724173,0.0036485072406873265
perslay_z_dtm_k20,0.7,matern2,19226,0.16652274660109953,0.161076764509417,-0.0054459820916825386
perslay_z_dtm_k20,0.7,lgcp,10208,0.3947112575934577,0.38610810276495383,-0.008603154828503878
perslay_z_dtm_k20,0.9,thomas,5800,0.5652629522239049,0.5589715737254434,-0.006291378498461508
perslay_z_dtm_k20,0.9,nested,8662,0.5488223292450689,0.551068433484142,0.002246104239073121
perslay_z_dtm_k20,0.9,matern2,18521,0.166790999820399,0.158702947886,-0.008088051934398988
perslay_z_dtm_k20,0.9,lgcp,9449,0.38949263740612494,0.36444870731407364,-0.025043930092051303
