set,family,cell_id,level_id,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,target_delta,delta_tilde,feasible,why,reps
C,thomas,0,4,125.0,0.7922656776331956,1.0,,,,,,,,,,0.302729765518465,1,,300
C,thomas,0,5,125.0,1.0467160126258068,1.0,,,,,,,,,,0.39875303637818554,1,,300
C,thomas,0,6,125.0,1.3828876373393992,1.0,,,,,,,,,,0.5247473253102816,1,,300
C,thomas,0,7,125.0,1.8270268099832798,1.0,,,,,,,,,,0.6897265747114331,1,,300
C,thomas,0,8,125.0,2.4138092454278226,1.0,,,,,,,,,,0.9051865816846114,1,,300
C,thomas,0,9,125.0,3.1890473864289683,1.0,,,,,,,,,,1.1856434097651751,1,,300
C,thomas,0,10,125.0,4.21326716357278,1.0,,,,,,,,,,1.5492045202921836,1,,300
C,thomas,0,11,125.0,5.56643349584044,1.0,,,,,,,,,,2.018128505642314,1,,300
C,thomas,0,12,125.0,7.35419347045144,1.0,,,,,,,,,,2.619312620234781,1,,300
C,thomas,0,13,125.0,9.716124631911157,1.0,,,,,,,,,,3.384641233479689,1,,300
C,thomas,0,14,125.0,12.836632357053798,1.0,,,,,,,,,,4.351144254662554,1,,300
C,thomas,0,15,125.0,16.95934711757074,1.0,,,,,,,,,,5.560963404287526,1,,300
C,thomas,1,0,500.0,0.1768936020474426,1.0,,,,,,,,,,0.1498600782631546,1,,300
C,thomas,1,1,500.0,0.23605997916228316,1.0,,,,,,,,,,0.199841807144586,1,,300
C,thomas,1,2,500.0,0.3150159933266121,1.0,,,,,,,,,,0.26643061958055775,1,,300
C,thomas,1,3,500.0,0.42038077103841215,1.0,,,,,,,,,,0.3550960049559674,1,,300
C,thomas,1,4,500.0,0.5609873669989341,1.0,,,,,,,,,,0.4730719112642085,1,,300
C,thomas,1,5,500.0,0.7486232663663881,1.0,,,,,,,,,,0.6298982616761399,1,,300
C,thomas,1,6,500.0,0.9990185660386623,1.0,,,,,,,,,,0.8381083084719971,1,,300
C,thomas,1,7,500.0,1.3331646772536851,1.0,,,,,,,,,,1.1140864896367941,1,,300
C,thomas,1,8,500.0,1.7790741004188095,1.0,,,,,,,,,,1.479115055514972,1,,300
C,thomas,1,9,500.0,2.374128799527678,1.0,,,,,,,,,,1.9606124651379826,1,,300
C,thomas,1,10,500.0,3.1682140476441414,1.0,,,,,,,,,,2.5939048060798773,1,,300
C,thomas,1,11,500.0,4.227900463398027,1.0,,,,,,,,,,3.4231895684560443,1,,300
C,thomas,1,12,500.0,5.642024831527105,1.0,,,,,,,,,,4.503248758360409,1,,300
C,thomas,1,13,500.0,7.529137564885874,1.0,,,,,,,,,,5.902147727139024,1,,300
C,thomas,1,14,500.0,10.04744115166045,1.0,,,,,,,,,,7.703350497662202,1,,300
C,thomas,1,15,500.0,13.408052758511412,1.0,,,,,,,,,,10.000000000000002,1,,300
C,nested,0,0,250.0,,,3,0.057479387124993495,0.2,6,,,,,,0.20765748291357858,1,,300
C,nested,0,1,250.0,,,3,0.07699264023328603,0.2,6,,,,,,0.27663510896217414,1,,300
C,nested,0,2,250.0,,,3,0.10313030368959217,0.2,6,,,,,,0.367890909860735,1,,300
C,nested,0,3,250.0,,,3,0.13814124969453037,0.2,6,,,,,,0.4881698186329985,1,,300
C,nested,0,4,250.0,,,3,0.18503780348212462,0.2,6,,,,,,0.6459611082719265,1,,300
C,nested,0,5,250.0,,,3,0.24785492235810463,0.2,6,,,,,,0.8517737893288659,1,,300
C,nested,0,6,250.0,,,3,0.33199736151794873,0.2,6,,,,,,1.1183678097433971,1,,300
C,nested,0,7,250.0,,,3,0.44470469662744366,0.2,6,,,,,,1.4609052981556667,1,,300
C,nested,0,8,250.0,,,3,0.5956742134886368,0.2,6,,,,,,1.897038287036014,1,,300
C,nested,0,9,250.0,,,3,0.79789525792341,0.2,6,,,,,,2.455106381147599,1,,300
C,nested,0,10,250.0,,,3,1.0687668329440114,0.2,6,,,,,,3.15704000356592,1,,300
C,nested,0,11,250.0,,,3,1.4315946007424678,0.2,6,,,,,,4.029661067050613,1,,300
C,nested,0,12,250.0,,,3,1.9175960908419658,0.2,6,,,,,,5.115499087272712,1,,300
C,nested,0,13,250.0,,,3,2.5685866415710814,0.2,6,,,,,,6.445692576999174,1,,300
C,nested,0,14,250.0,,,3,3.44057717199484,0.2,6,,,,,,8.059992614003066,1,,300
C,nested,0,15,250.0,,,3,4.6085933348978,0.2,6,,,,,,9.999999999999995,1,,300
C,nested,1,0,500.0,,,3,0.057479387124993495,0.2,6,,,,,,0.29720972974450427,1,,300
C,nested,1,1,500.0,,,3,0.07457695106025969,0.2,6,,,,,,0.3836842743625277,1,,300
C,nested,1,2,500.0,,,3,0.09676028064373686,0.2,6,,,,,,0.49465141116822636,1,,300
C,nested,1,3,500.0,,,3,0.12554216520181405,0.2,6,,,,,,0.6371690578159701,1,,300
C,nested,1,4,500.0,,,3,0.16288538167421837,0.2,6,,,,,,0.8191704132169342,1,,300
C,nested,1,5,500.0,,,3,0.21133654593661919,0.2,6,,,,,,1.0509016649235652,1,,300
C,nested,1,6,500.0,,,3,0.2741997789448656,0.2,6,,,,,,1.3445286657654503,1,,300
C,nested,1,7,500.0,,,3,0.35576203084137487,0.2,6,,,,,,1.7144206478376223,1,,300
C,nested,1,8,500.0,,,3,0.4615854289723137,0.2,6,,,,,,2.1774417575774305,1,,300
C,nested,1,9,500.0,,,3,0.5988865864512487,0.2,6,,,,,,2.7531299673197154,1,,300
C,nested,1,10,500.0,,,3,0.7770287381682971,0.2,6,,,,,,3.4634666291989964,1,,300
C,nested,1,11,500.0,,,3,1.0081602653970358,0.2,6,,,,,,4.332545268343572,1,,300
C,nested,1,12,500.0,,,3,1.3080431531031513,0.2,6,,,,,,5.386921101636171,1,,300
C,nested,1,13,500.0,,,3,1.697127876495125,0.2,6,,,,,,6.6577613975596694,1,,300
C,nested,1,14,500.0,,,3,2.201948018567947,0.2,6,,,,,,8.17867359756119,1,,300
C,nested,1,15,500.0,,,3,2.8569297244050267,0.2,6,,,,,,9.999999999999998,1,,300
C,matern2,0,0,125.0,,,,,,,0.06354908076050704,,,,,0.13434917684902078,1,,300
C,matern2,0,1,125.0,,,,,,,0.0722187913897264,,,,,0.17888490924575895,1,,300
C,matern2,0,2,125.0,,,,,,,0.08207127101410504,,,,,0.2416664642020934,1,,300
C,matern2,0,3,125.0,,,,,,,0.09326787940166044,,,,,0.3352135843670585,1,,300
C,matern2,0,4,125.0,,,,,,,0.10599198989604602,,,,,0.4961071706807897,1,,300
C,matern2,0,5,125.0,,,,,,,0.12045199262805927,,,,,0.8596299053386612,1,,300
C,matern2,0,6,125.0,,,,,,,0.13688470744156944,,,,,1.0287372736911036,1,,300
C,matern2,0,7,125.0,,,,,,,0.15555926242933046,,,,,1.1976225500579796,1,,300
C,matern2,0,8,125.0,,,,,,,0.17678150159970754,,,,,1.3986791272061265,1,,300
C,matern2,0,9,125.0,,,,,,,0.20089899386122925,,,,,1.5812804528529405,1,,300
C,matern2,0,10,125.0,,,,,,,0.22830672536000787,,,,,1.8374335765686565,1,,300
C,matern2,0,11,125.0,,,,,,,0.25945356839673683,,,,,2.1347448244788794,1,,300
C,matern2,0,12,125.0,,,,,,,0.2948496328684668,,,,,2.472164864006822,1,,300
C,matern2,0,13,125.0,,,,,,,0.3350746206339826,,,,,2.794291667525655,1,,300
C,matern2,0,14,125.0,,,,,,,0.38078731962706414,,,,,3.1588679956692074,1,,300
C,matern2,0,15,125.0,,,,,,,0.4327363932082248,,,,,3.586442063910175,1,,300
C,matern2,1,0,500.0,,,,,,,0.06354908076050704,,,,,0.16171890491537602,1,,300
C,matern2,1,1,500.0,,,,,,,0.0722187913897264,,,,,0.20999659221825867,1,,300
C,matern2,1,2,500.0,,,,,,,0.08207127101410504,,,,,0.2731623546162531,1,,300
C,matern2,1,3,500.0,,,,,,,0.09326787940166044,,,,,0.35617047360479515,1,,300
C,matern2,1,4,500.0,,,,,,,0.10599198989604602,,,,,0.46592529267378746,1,,300
C,matern2,1,5,500.0,,,,,,,0.12045199262805927,,,,,0.6123519307003704,1,,300
C,matern2,1,6,500.0,,,,,,,0.13688470744156944,,,,,0.8108855515931976,1,,300
C,matern2,1,7,500.0,,,,,,,0.15555926242933046,,,,,1.087061823651334,1,,300
C,matern2,1,8,500.0,,,,,,,0.17678150159970754,,,,,1.4881501644134592,1,,300
C,matern2,1,9,500.0,,,,,,,0.20089899386122925,,,,,2.1268728550911495,1,,300
C,matern2,1,10,500.0,,,,,,,0.22830672536000787,,,,,3.7495624699343906,1,,300
C,matern2,1,11,500.0,,,,,,,0.25945356839673683,,,,,4.5101131926320885,1,,300
C,matern2,1,12,500.0,,,,,,,0.2948496328684668,,,,,5.327860364545362,1,,300
C,matern2,1,13,500.0,,,,,,,0.3350746206339826,,,,,5.915567368551393,1,,300
C,matern2,1,14,500.0,,,,,,,0.38078731962706414,,,,,6.6893991625644045,1,,300
C,matern2,1,15,500.0,,,,,,,0.4327363932082248,,,,,7.672548990221099,1,,300
C,lgcp,0,0,125.0,,,,,,,,,0.07529829273074613,1.0,,0.17830903834452624,1,,300
C,lgcp,0,1,125.0,,,,,,,,,0.09367417194374296,1.0,,0.22234597983283766,1,,300
C,lgcp,0,2,125.0,,,,,,,,,0.11653452118394353,1.0,,0.2774194426309775,1,,300
C,lgcp,0,3,125.0,,,,,,,,,0.14497373551085974,1.0,,0.3463849306639105,1,,300
C,lgcp,0,4,125.0,,,,,,,,,0.18035328737308565,1.0,,0.4328869015573626,1,,300
C,lgcp,0,5,125.0,,,,,,,,,0.224366904471757,1.0,,0.5416048918221854,1,,300
C,lgcp,0,6,125.0,,,,,,,,,0.2791216537023926,1.0,,0.6785921172954706,1,,300
C,lgcp,0,7,125.0,,,,,,,,,0.3472388129122023,1.0,,0.8517499122987399,1,,300
C,lgcp,0,8,125.0,,,,,,,,,0.4319793595133815,1.0,,1.0715064746571192,1,,300
C,lgcp,0,9,125.0,,,,,,,,,0.5374000834773439,1.0,,1.3518134247649964,1,,300
C,lgcp,0,10,125.0,,,,,,,,,0.6685477983179193,1.0,,1.7116595743646976,1,,300
C,lgcp,0,11,125.0,,,,,,,,,0.8317009475391727,1.0,,2.1773381508419334,1,,300
C,lgcp,0,12,125.0,,,,,,,,,1.0346701729898093,1.0,,2.786353724507594,1,,300
C,lgcp,0,13,125.0,,,,,,,,,1.287172234253514,1.0,,3.596502241619244,1,,300
C,lgcp,0,14,125.0,,,,,,,,,1.6012951797437212,1.0,,4.689944765423878,1,,300
C,lgcp,0,15,125.0,,,,,,,,,1.992077038670378,1.0,,6.1990869629359455,1,,300
C,lgcp,1,0,500.0,,,,,,,,,0.07529829273074613,1.0,,0.38871737245348525,1,,300
C,lgcp,1,1,500.0,,,,,,,,,0.09221007791055601,1.0,,0.4770407164486351,1,,300
C,lgcp,1,2,500.0,,,,,,,,,0.11292020256920053,1.0,,0.5857165457908651,1,,300
C,lgcp,1,3,500.0,,,,,,,,,0.13828176309142423,1.0,,0.7195788866682659,1,,300
C,lgcp,1,4,500.0,,,,,,,,,0.16933945891528493,1.0,,0.8846834867867766,1,,300
C,lgcp,1,5,500.0,,,,,,,,,0.20737262604008436,1.0,,1.0886541783257462,1,,300
C,lgcp,1,6,500.0,,,,,,,,,0.2539479357393831,1.0,,1.3411465006769399,1,,300
C,lgcp,1,7,500.0,,,,,,,,,0.3109839292570287,1.0,,1.6545858442616974,1,,300
C,lgcp,1,8,500.0,,,,,,,,,0.38083004681475885,1.0,,2.044807212429096,1,,300
C,lgcp,1,9,500.0,,,,,,,,,0.4663634063130722,1.0,,2.532465654531304,1,,300
C,lgcp,1,10,500.0,,,,,,,,,0.5711073182566508,1.0,,3.1447800805514667,1,,300
C,lgcp,1,11,500.0,,,,,,,,,0.6993764187993518,1.0,,3.919145202846021,1,,300
C,lgcp,1,12,500.0,,,,,,,,,0.8564543992637061,1.0,,4.905842514520993,1,,300
C,lgcp,1,13,500.0,,,,,,,,,1.0488116532115996,1.0,,6.174049381732158,1,,300
C,lgcp,1,14,500.0,,,,,,,,,1.2843718064360732,1.0,,7.823291063017519,1,,300
C,lgcp,1,15,500.0,,,,,,,,,1.5728381088411219,1.0,,10.0,1,,300
