family,model,val,all,regime 0.5,regime 0.9,kappa,mu,sigma,mu1,mu2,sigma1,sigma2,nbar,s,R,lam_p,rho,k
matern1,hgb_classical_ph,0.15343071144536274,0.15576310003434007,0.1430574275145241,0.12834431682004263,,,,,,,,,,0.2069,0.1046,,
matern1,nn_curves,0.14940809469999153,0.15249183914782458,0.14038051808710933,0.12679809984206367,,,,,,,,,,0.1986,0.1064,,
matern1,perslay_dtm10,0.22227316798296295,0.22528488763864335,0.21289572610442883,0.1991117949239577,,,,,,,,,,0.3228,0.1278,,
matern1,perslay_alpha,0.22549586319746476,0.228966731180154,0.21856779250123834,0.21162645399719376,,,,,,,,,,0.3278,0.1302,,
cell,hgb_classical,0.13687380211645436,0.14168312616266715,0.14168312616266715,0.14168312616266715,,,,,,,,0.0626,,,,,0.2208
cell,hgb_ph,0.11888179350827263,0.1256091637600547,0.1256091637600547,0.1256091637600547,,,,,,,,0.0608,,,,,0.1905
cell,hgb_classical_ph,0.113592842645001,0.12031537015943522,0.12031537015943522,0.12031537015943522,,,,,,,,0.0598,,,,,0.1808
cell,nn_curves,0.14932705484042522,0.15362628669841422,0.15362628669841422,0.15362628669841422,,,,,,,,0.0673,,,,,0.2399
cell,perslay_dtm10,0.12131455690113553,0.12894355887599895,0.12894355887599895,0.12894355887599895,,,,,,,,0.0669,,,,,0.191
cell,perslay_alpha,0.15156095232939076,0.15921993034313148,0.15921993034313148,0.15921993034313148,,,,,,,,0.0729,,,,,0.2455
