family,coordinate,kind,tau,boundary,direction,pool_fraction
nested,omega_outer,physical,0.5,4.731247021329507,decreasing,0.893918918918919
nested,omega_outer,physical,0.7,3.1313362559290696,decreasing,0.7194594594594594
nested,omega_outer,physical,0.9,1.9005820484404317,decreasing,0.5156486486486487
nested,omega_inner,physical,0.3,2.100237500834047,decreasing,0.9363243243243243
nested,omega_inner,physical,0.5,1.276629853985766,decreasing,0.838
nested,omega_inner,physical,0.7,0.9505877949831941,decreasing,0.7527297297297297
nested,omega_inner,physical,0.9,0.6630930501581087,decreasing,0.6168918918918919
nested,meta_size,physical,0.3,2.0000131706610524,increasing,1.0
nested,meta_size,physical,0.5,2.0000131706610524,increasing,1.0
nested,meta_size,physical,0.7,2.0000131706610524,increasing,1.0
nested,meta_size,physical,0.9,76.14115479730143,increasing,0.010432432432432432
nested,zeta_outer,snr,0.3,0.2347827011407338,increasing,0.9962432432432432
nested,zeta_outer,snr,0.5,0.5710001658308328,increasing,0.9207297297297298
nested,zeta_outer,snr,0.7,1.0867157796579836,increasing,0.7435945945945946
nested,zeta_outer,snr,0.9,2.1924328450281325,increasing,0.4797027027027027
nested,zeta_inner,snr,0.3,0.727885359077992,increasing,0.9388648648648649
nested,zeta_inner,snr,0.5,1.1616608500873722,increasing,0.881972972972973
nested,zeta_inner,snr,0.7,2.003665690517754,increasing,0.7816756756756756
nested,zeta_inner,snr,0.9,4.689665989175122,increasing,0.5321621621621622
nested,zeta,snr,0.3,1.1014152050019272,increasing,0.9434054054054054
nested,zeta,snr,0.5,1.8590781320547691,increasing,0.8590540540540541
nested,zeta,snr,0.7,2.930452364089463,increasing,0.7498648648648648
nested,zeta,snr,0.9,5.047227076725281,increasing,0.5708378378378378
nested,delta_tilde,delta,0.3,-0.0801125697587704,increasing,0.9282972972972973
nested,delta_tilde,delta,0.5,0.6521354984413955,increasing,0.8428108108108108
nested,delta_tilde,delta,0.7,1.4582452499377072,increasing,0.7569189189189189
nested,delta_tilde,delta,0.9,3.225295349894572,increasing,0.6042162162162162
nested,delta_tilde_hi,delta,0.3,-0.1032816656395015,increasing,0.9285405405405406
nested,delta_tilde_hi,delta,0.5,0.8237209191937069,increasing,0.8424864864864865
nested,delta_tilde_hi,delta,0.7,1.8062961427970976,increasing,0.7587567567567568
nested,delta_tilde_hi,delta,0.9,4.048123943453939,increasing,0.6042162162162162
matern2,R,raw,0.3,0.0016424586999346,increasing,1.0
matern2,R,raw,0.5,0.001798124422627,increasing,0.9985405405405405
matern2,R,raw,0.7,0.0018694627686455,increasing,0.9970810810810811
matern2,R,raw,0.9,0.0094095219018679,increasing,0.5327567567567567
matern2,lam_p,raw,0.3,76.00307612776754,increasing,0.9994324324324324
matern2,lam_p,raw,0.5,79.96564869871663,increasing,0.9904054054054054
matern2,lam_p,raw,0.7,94.66821303294904,increasing,0.9439459459459459
matern2,lam_p,raw,0.9,288.4846445004091,increasing,0.521918918918919
matern2,core,physical,0.3,0.051706000081392,increasing,0.9862432432432432
matern2,core,physical,0.5,0.058919785053583536,increasing,0.9325945945945946
matern2,core,physical,0.7,0.07551338144269627,increasing,0.8305405405405405
matern2,core,physical,0.9,0.10406342047745472,increasing,0.6956756756756757
matern2,zeta,snr,0.3,0.8138623614378419,increasing,0.9365135135135135
matern2,zeta,snr,0.5,1.0270847585021747,increasing,0.8777567567567568
matern2,zeta,snr,0.7,1.1839873582146945,increasing,0.8345945945945946
matern2,zeta,snr,0.9,1.4052394547579539,increasing,0.7725675675675676
matern2,delta_tilde,delta,0.3,-0.1443445314259625,increasing,0.9377837837837838
matern2,delta_tilde,delta,0.5,0.1691026846899495,increasing,0.876
matern2,delta_tilde,delta,0.7,0.396744223694228,increasing,0.8282162162162162
matern2,delta_tilde,delta,0.9,0.6495552436559963,increasing,0.7753513513513514
matern2,delta_tilde_lo,delta,0.3,-0.1803313937864964,increasing,0.9377297297297297
matern2,delta_tilde_lo,delta,0.5,0.212593433417651,increasing,0.8759189189189189
matern2,delta_tilde_lo,delta,0.7,0.4929349723020884,increasing,0.8291081081081081
matern2,delta_tilde_lo,delta,0.9,0.8193163433789558,increasing,0.7748108108108108
lgcp,sigma2,raw,0.3,0.062766315755389,increasing,0.9399459459459459
lgcp,sigma2,raw,0.5,0.153067282950353,increasing,0.7170540540540541
